Section,Part,Number,Title,Passage,Instruction,QuestionText,Type,CorrectAnswer,OptionA,OptionB,OptionC,OptionD,Explanation,Difficulty
Reading,R3,3,Digital Literacy,"Digital Literacy in Canadian Schools: A Growing Priority

[Paragraph A] Over the past decade, digital literacy has become increasingly important in Canadian education. Digital literacy refers to the ability to find, evaluate, and create information using digital technologies. It goes beyond simply using computers or tablets; it encompasses critical thinking skills needed to navigate the modern digital world.

[Paragraph B] The Canadian government recognizes that digital skills are essential for future employment. Many professions now require basic computer competency, and employers report that graduates without these skills struggle to compete in the job market. Schools across Canada have responded by integrating digital literacy into their curriculas.

[Paragraph C] However, implementing digital literacy programs faces several challenges. Not all schools have equal access to technology, and the cost of purchasing computers and software can be prohibitive for under-funded districts. Additionally, teachers require training to effectively teach digital literacy concepts.

[Paragraph D] Some educators argue that digital literacy should focus more on critical thinking and online safety than on technical skills. They contend that students can learn software tools easily, but understanding digital citizenship—how to behave responsibly online—is more valuable. This perspective challenges traditional computer training approaches.

[Paragraph E] The future of digital literacy in Canadian schools appears promising. With government funding initiatives and partnerships with technology companies, more schools are gaining access to necessary resources. Furthermore, teacher training programs are being developed to ensure educators are equipped to teach these essential skills effectively.","Read the passage and answer the questions below.",What challenges to digital literacy implementation are mentioned in Paragraph C?,detail,Unequal technology access; high costs for under-funded districts; lack of teacher training,,,,,Three specific challenges are listed in Paragraph C,medium
Reading,R3,4,Digital Literacy,"Digital Literacy in Canadian Schools: A Growing Priority

[Paragraph A] Over the past decade, digital literacy has become increasingly important in Canadian education. Digital literacy refers to the ability to find, evaluate, and create information using digital technologies. It goes beyond simply using computers or tablets; it encompasses critical thinking skills needed to navigate the modern digital world.

[Paragraph B] The Canadian government recognizes that digital skills are essential for future employment. Many professions now require basic computer competency, and employers report that graduates without these skills struggle to compete in the job market. Schools across Canada have responded by integrating digital literacy into their curriculas.

[Paragraph C] However, implementing digital literacy programs faces several challenges. Not all schools have equal access to technology, and the cost of purchasing computers and software can be prohibitive for under-funded districts. Additionally, teachers require training to effectively teach digital literacy concepts.

[Paragraph D] Some educators argue that digital literacy should focus more on critical thinking and online safety than on technical skills. They contend that students can learn software tools easily, but understanding digital citizenship—how to behave responsibly online—is more valuable. This perspective challenges traditional computer training approaches.

[Paragraph E] The future of digital literacy in Canadian schools appears promising. With government funding initiatives and partnerships with technology companies, more schools are gaining access to necessary resources. Furthermore, teacher training programs are being developed to ensure educators are equipped to teach these essential skills effectively.","Read the passage and answer the questions below.","In Paragraph D what does 'digital citizenship' mean according to the text?",vocab_context,How to behave responsibly online,,,,,Paragraph D defines it as: 'how to behave responsibly online',easy
Reading,R3,5,Digital Literacy,"Digital Literacy in Canadian Schools: A Growing Priority

[Paragraph A] Over the past decade, digital literacy has become increasingly important in Canadian education. Digital literacy refers to the ability to find, evaluate, and create information using digital technologies. It goes beyond simply using computers or tablets; it encompasses critical thinking skills needed to navigate the modern digital world.

[Paragraph B] The Canadian government recognizes that digital skills are essential for future employment. Many professions now require basic computer competency, and employers report that graduates without these skills struggle to compete in the job market. Schools across Canada have responded by integrating digital literacy into their curriculas.

[Paragraph C] However, implementing digital literacy programs faces several challenges. Not all schools have equal access to technology, and the cost of purchasing computers and software can be prohibitive for under-funded districts. Additionally, teachers require training to effectively teach digital literacy concepts.

[Paragraph D] Some educators argue that digital literacy should focus more on critical thinking and online safety than on technical skills. They contend that students can learn software tools easily, but understanding digital citizenship—how to behave responsibly online—is more valuable. This perspective challenges traditional computer training approaches.

[Paragraph E] The future of digital literacy in Canadian schools appears promising. With government funding initiatives and partnerships with technology companies, more schools are gaining access to necessary resources. Furthermore, teacher training programs are being developed to ensure educators are equipped to teach these essential skills effectively.","Read the passage and answer the questions below.",What is the main idea of Paragraph E?,gist,The outlook for digital literacy in Canadian schools is positive with government support and technology partnerships,,,,,Paragraph E discusses positive developments and future prospects,medium
Reading,R3,6,Digital Literacy,"Digital Literacy in Canadian Schools: A Growing Priority

[Paragraph A] Over the past decade, digital literacy has become increasingly important in Canadian education. Digital literacy refers to the ability to find, evaluate, and create information using digital technologies. It goes beyond simply using computers or tablets; it encompasses critical thinking skills needed to navigate the modern digital world.

[Paragraph B] The Canadian government recognizes that digital skills are essential for future employment. Many professions now require basic computer competency, and employers report that graduates without these skills struggle to compete in the job market. Schools across Canada have responded by integrating digital literacy into their curriculas.

[Paragraph C] However, implementing digital literacy programs faces several challenges. Not all schools have equal access to technology, and the cost of purchasing computers and software can be prohibitive for under-funded districts. Additionally, teachers require training to effectively teach digital literacy concepts.

[Paragraph D] Some educators argue that digital literacy should focus more on critical thinking and online safety than on technical skills. They contend that students can learn software tools easily, but understanding digital citizenship—how to behave responsibly online—is more valuable. This perspective challenges traditional computer training approaches.

[Paragraph E] The future of digital literacy in Canadian schools appears promising. With government funding initiatives and partnerships with technology companies, more schools are gaining access to necessary resources. Furthermore, teacher training programs are being developed to ensure educators are equipped to teach these essential skills effectively.","Read the passage and answer the questions below.",Which of the following best represents the main theme of the entire passage?,mcq,C,Digital literacy is no longer important in Canadian schools,Only wealthy schools should teach digital skills,Canadian schools are working to address digital literacy despite challenges,Teachers are refusing to teach digital skills,"The passage discusses the importance of digital literacy; the challenges; and the positive outlook with solutions. Option C best captures this balance.",hard
Reading,R3,7,Digital Literacy,"Digital Literacy in Canadian Schools: A Growing Priority

[Paragraph A] Over the past decade, digital literacy has become increasingly important in Canadian education. Digital literacy refers to the ability to find, evaluate, and create information using digital technologies. It goes beyond simply using computers or tablets; it encompasses critical thinking skills needed to navigate the modern digital world.

[Paragraph B] The Canadian government recognizes that digital skills are essential for future employment. Many professions now require basic computer competency, and employers report that graduates without these skills struggle to compete in the job market. Schools across Canada have responded by integrating digital literacy into their curriculas.

[Paragraph C] However, implementing digital literacy programs faces several challenges. Not all schools have equal access to technology, and the cost of purchasing computers and software can be prohibitive for under-funded districts. Additionally, teachers require training to effectively teach digital literacy concepts.

[Paragraph D] Some educators argue that digital literacy should focus more on critical thinking and online safety than on technical skills. They contend that students can learn software tools easily, but understanding digital citizenship—how to behave responsibly online—is more valuable. This perspective challenges traditional computer training approaches.

[Paragraph E] The future of digital literacy in Canadian schools appears promising. With government funding initiatives and partnerships with technology companies, more schools are gaining access to necessary resources. Furthermore, teacher training programs are being developed to ensure educators are equipped to teach these essential skills effectively.","Read the passage and answer the questions below.",What can be inferred from Paragraph D about the author's perspective on digital literacy education?,inference,The author values a balanced approach that includes technical AND critical thinking skills,,,,,While Paragraph D presents an educators' argument; including both perspectives suggests balance is important,hard
Reading,R3,8,Digital Literacy,"Digital Literacy in Canadian Schools: A Growing Priority

[Paragraph A] Over the past decade, digital literacy has become increasingly important in Canadian education. Digital literacy refers to the ability to find, evaluate, and create information using digital technologies. It goes beyond simply using computers or tablets; it encompasses critical thinking skills needed to navigate the modern digital world.

[Paragraph B] The Canadian government recognizes that digital skills are essential for future employment. Many professions now require basic computer competency, and employers report that graduates without these skills struggle to compete in the job market. Schools across Canada have responded by integrating digital literacy into their curriculas.

[Paragraph C] However, implementing digital literacy programs faces several challenges. Not all schools have equal access to technology, and the cost of purchasing computers and software can be prohibitive for under-funded districts. Additionally, teachers require training to effectively teach digital literacy concepts.

[Paragraph D] Some educators argue that digital literacy should focus more on critical thinking and online safety than on technical skills. They contend that students can learn software tools easily, but understanding digital citizenship—how to behave responsibly online—is more valuable. This perspective challenges traditional computer training approaches.

[Paragraph E] The future of digital literacy in Canadian schools appears promising. With government funding initiatives and partnerships with technology companies, more schools are gaining access to necessary resources. Furthermore, teacher training programs are being developed to ensure educators are equipped to teach these essential skills effectively.","Read the passage and answer the questions below.",Based on the passage what is one way the government is supporting digital literacy?,detail,Through funding initiatives and partnerships with technology companies,,,,,Paragraph E explicitly states these two methods of government support,medium
Reading,R3,9,Digital Literacy,"Digital Literacy in Canadian Schools: A Growing Priority

[Paragraph A] Over the past decade, digital literacy has become increasingly important in Canadian education. Digital literacy refers to the ability to find, evaluate, and create information using digital technologies. It goes beyond simply using computers or tablets; it encompasses critical thinking skills needed to navigate the modern digital world.

[Paragraph B] The Canadian government recognizes that digital skills are essential for future employment. Many professions now require basic computer competency, and employers report that graduates without these skills struggle to compete in the job market. Schools across Canada have responded by integrating digital literacy into their curriculas.

[Paragraph C] However, implementing digital literacy programs faces several challenges. Not all schools have equal access to technology, and the cost of purchasing computers and software can be prohibitive for under-funded districts. Additionally, teachers require training to effectively teach digital literacy concepts.

[Paragraph D] Some educators argue that digital literacy should focus more on critical thinking and online safety than on technical skills. They contend that students can learn software tools easily, but understanding digital citizenship—how to behave responsibly online—is more valuable. This perspective challenges traditional computer training approaches.

[Paragraph E] The future of digital literacy in Canadian schools appears promising. With government funding initiatives and partnerships with technology companies, more schools are gaining access to necessary resources. Furthermore, teacher training programs are being developed to ensure educators are equipped to teach these essential skills effectively.","Read the passage and answer the questions below.",What tone does the author use when discussing the future of digital literacy in Canadian schools?,tone_purpose,Optimistic and encouraging,Pessimistic and discouraging,Neutral and factual,Angry and critical,"Words like 'promising;' 'gaining access;' 'equipped' convey optimism about the future",easy
Reading,R4,1,AI Regulation,"AI Regulation in Canadian Schools: Two Perspectives

Dr. Emily Liu - Pro-Regulation Viewpoint:

Artificial intelligence is advancing rapidly in our education system and we must establish clear regulations. Students are using AI tools like ChatGPT for homework and I worry about academic integrity. If we don't regulate AI use we risk creating a generation of students who cannot think critically or write independently. Furthermore AI systems can contain biases that perpetuate educational inequalities. Regulation allows us to ensure AI supports learning rather than replacing it. Without guidelines schools will face unpredictable and potentially harmful consequences.

James Chen - Against Strict Regulation Viewpoint:

I understand Dr. Liu's concerns but I believe overly strict regulation will hinder innovation in education. AI offers tremendous opportunities—personalized learning paths adaptive assessments and intelligent tutoring systems can help struggling students. Banning or heavily restricting AI will force Canadian schools to fall behind international competitors who embrace these technologies. Rather than regulation I advocate for education. We should teach students AI literacy and digital citizenship so they can use these tools responsibly. This approach trusts student maturity and encourages innovation.","Analyze and compare the two speakers' positions on AI in schools.",What is Dr. Liu's main concern about AI in schools?,detail,Students using AI to avoid independent thinking and academic integrity concerns,,,,,Dr. Liu mentions ChatGPT homework use and risk of students not thinking/writing independently,easy
Reading,R4,2,AI Regulation,"AI Regulation in Canadian Schools: Two Perspectives

Dr. Emily Liu - Pro-Regulation Viewpoint:

Artificial intelligence is advancing rapidly in our education system and we must establish clear regulations. Students are using AI tools like ChatGPT for homework and I worry about academic integrity. If we don't regulate AI use we risk creating a generation of students who cannot think critically or write independently. Furthermore AI systems can contain biases that perpetuate educational inequalities. Regulation allows us to ensure AI supports learning rather than replacing it. Without guidelines schools will face unpredictable and potentially harmful consequences.

James Chen - Against Strict Regulation Viewpoint:

I understand Dr. Liu's concerns but I believe overly strict regulation will hinder innovation in education. AI offers tremendous opportunities—personalized learning paths adaptive assessments and intelligent tutoring systems can help struggling students. Banning or heavily restricting AI will force Canadian schools to fall behind international competitors who embrace these technologies. Rather than regulation I advocate for education. We should teach students AI literacy and digital citizenship so they can use these tools responsibly. This approach trusts student maturity and encourages innovation.","Analyze and compare the two speakers' positions on AI in schools.",What alternative does James Chen suggest instead of regulation?,detail,Teaching students AI literacy and digital citizenship; education instead of restriction,,,,,Chen states: 'teach students AI literacy and digital citizenship' and 'Rather than regulation I advocate for education',easy
Reading,R4,3,AI Regulation,"AI Regulation in Canadian Schools: Two Perspectives

Dr. Emily Liu - Pro-Regulation Viewpoint:

Artificial intelligence is advancing rapidly in our education system and we must establish clear regulations. Students are using AI tools like ChatGPT for homework and I worry about academic integrity. If we don't regulate AI use we risk creating a generation of students who cannot think critically or write independently. Furthermore AI systems can contain biases that perpetuate educational inequalities. Regulation allows us to ensure AI supports learning rather than replacing it. Without guidelines schools will face unpredictable and potentially harmful consequences.

James Chen - Against Strict Regulation Viewpoint:

I understand Dr. Liu's concerns but I believe overly strict regulation will hinder innovation in education. AI offers tremendous opportunities—personalized learning paths adaptive assessments and intelligent tutoring systems can help struggling students. Banning or heavily restricting AI will force Canadian schools to fall behind international competitors who embrace these technologies. Rather than regulation I advocate for education. We should teach students AI literacy and digital citizenship so they can use these tools responsibly. This approach trusts student maturity and encourages innovation.","Analyze and compare the two speakers' positions on AI in schools.",Which speaker mentions that AI can help struggling students?,detail,James Chen,,,,,Chen states: 'intelligent tutoring systems can help struggling students',easy
Reading,R4,4,AI Regulation,"AI Regulation in Canadian Schools: Two Perspectives

Dr. Emily Liu - Pro-Regulation Viewpoint:

Artificial intelligence is advancing rapidly in our education system and we must establish clear regulations. Students are using AI tools like ChatGPT for homework and I worry about academic integrity. If we don't regulate AI use we risk creating a generation of students who cannot think critically or write independently. Furthermore AI systems can contain biases that perpetuate educational inequalities. Regulation allows us to ensure AI supports learning rather than replacing it. Without guidelines schools will face unpredictable and potentially harmful consequences.

James Chen - Against Strict Regulation Viewpoint:

I understand Dr. Liu's concerns but I believe overly strict regulation will hinder innovation in education. AI offers tremendous opportunities—personalized learning paths adaptive assessments and intelligent tutoring systems can help struggling students. Banning or heavily restricting AI will force Canadian schools to fall behind international competitors who embrace these technologies. Rather than regulation I advocate for education. We should teach students AI literacy and digital citizenship so they can use these tools responsibly. This approach trusts student maturity and encourages innovation.","Analyze and compare the two speakers' positions on AI in schools.",What concern does Dr. Liu raise about AI systems themselves (not usage)?,detail,They can contain biases that perpetuate educational inequalities,,,,,Liu specifically states: 'AI systems can contain biases that perpetuate educational inequalities',medium
Reading,R4,5,AI Regulation,"AI Regulation in Canadian Schools: Two Perspectives

Dr. Emily Liu - Pro-Regulation Viewpoint:

Artificial intelligence is advancing rapidly in our education system and we must establish clear regulations. Students are using AI tools like ChatGPT for homework and I worry about academic integrity. If we don't regulate AI use we risk creating a generation of students who cannot think critically or write independently. Furthermore AI systems can contain biases that perpetuate educational inequalities. Regulation allows us to ensure AI supports learning rather than replacing it. Without guidelines schools will face unpredictable and potentially harmful consequences.

James Chen - Against Strict Regulation Viewpoint:

I understand Dr. Liu's concerns but I believe overly strict regulation will hinder innovation in education. AI offers tremendous opportunities—personalized learning paths adaptive assessments and intelligent tutoring systems can help struggling students. Banning or heavily restricting AI will force Canadian schools to fall behind international computers who embrace these technologies. Rather than regulation I advocate for education. We should teach students AI literacy and digital citizenship so they can use these tools responsibly. This approach trusts student maturity and encourages innovation.","Analyze and compare the two speakers' positions on AI in schools.",What consequence does James Chen warn about if Canada adopts strict AI regulation?,inference,Canadian schools will fall behind international competitors who embrace AI technologies,,,,,Chen states: 'restricting AI will force Canadian schools to fall behind international competitors',medium
Reading,R4,6,AI Regulation,"AI Regulation in Canadian Schools: Two Perspectives

Dr. Emily Liu - Pro-Regulation Viewpoint:

Artificial intelligence is advancing rapidly in our education system and we must establish clear regulations. Students are using AI tools like ChatGPT for homework and I worry about academic integrity. If we don't regulate AI use we risk creating a generation of students who cannot think critically or write independently. Furthermore AI systems can contain biases that perpetuate educational inequalities. Regulation allows us to ensure AI supports learning rather than replacing it. Without guidelines schools will face unpredictable and potentially harmful consequences.

James Chen - Against Strict Regulation Viewpoint:

I understand Dr. Liu's concerns but I believe overly strict regulation will hinder innovation in education. AI offers tremendous opportunities—personalized learning paths adaptive assessments and intelligent tutoring systems can help struggling students. Banning or heavily restricting AI will force Canadian schools to fall behind international competitors who embrace these technologies. Rather than regulation I advocate for education. We should teach students AI literacy and digital citizenship so they can use these tools responsibly. This approach trusts student maturity and encourages innovation.","Analyze and compare the two speakers' positions on AI in schools.",What is the main difference between the two speakers' approaches to the AI problem?,gist,Liu advocates regulation and control; Chen advocates education and trust in students,,,,,This captures the fundamental difference in their strategies,hard
Reading,R4,7,AI Regulation,"AI Regulation in Canadian Schools: Two Perspectives

Dr. Emily Liu - Pro-Regulation Viewpoint:

Artificial intelligence is advancing rapidly in our education system and we must establish clear regulations. Students are using AI tools like ChatGPT for homework and I worry about academic integrity. If we don't regulate AI use we risk creating a generation of students who cannot think critically or write independently. Furthermore AI systems can contain biases that perpetuate educational inequalities. Regulation allows us to ensure AI supports learning rather than replacing it. Without guidelines schools will face unpredictable and potentially harmful consequences.

James Chen - Against Strict Regulation Viewpoint:

I understand Dr. Liu's concerns but I believe overly strict regulation will hinder innovation in education. AI offers tremendous opportunities—personalized learning paths adaptive assessments and intelligent tutoring systems can help struggling students. Banning or heavily restricting AI will force Canadian schools to fall behind international competitors who embrace these technologies. Rather than regulation I advocate for education. We should teach students AI literacy and digital citizenship so they can use these tools responsibly. This approach trusts student maturity and encourages innovation.","Analyze and compare the two speakers' positions on AI in schools.",What does Dr. Liu mean when she says AI should 'support learning rather than replacing it'?,vocab_context,AI should enhance and complement education but not substitute for human teaching and critical thinking,,,,,This means AI should be a tool that helps but doesn't take over the role of actual learning,medium
Reading,R4,8,AI Regulation,"AI Regulation in Canadian Schools: Two Perspectives

Dr. Emily Liu - Pro-Regulation Viewpoint:

Artificial intelligence is advancing rapidly in our education system and we must establish clear regulations. Students are using AI tools like ChatGPT for homework and I worry about academic integrity. If we don't regulate AI use we risk creating a generation of students who cannot think critically or write independently. Furthermore AI systems can contain biases that perpetuate educational inequalities. Regulation allows us to ensure AI supports learning rather than replacing it. Without guidelines schools will face unpredictable and potentially harmful consequences.

James Chen - Against Strict Regulation Viewpoint:

I understand Dr. Liu's concerns but I believe overly strict regulation will hinder innovation in education. AI offers tremendous opportunities—personalized learning paths adaptive assessments and intelligent tutoring systems can help struggling students. Banning or heavily restricting AI will force Canadian schools to fall behind international competitors who embrace these technologies. Rather than regulation I advocate for education. We should teach students AI literacy and digital citizenship so they can use these tools responsibly. This approach trusts student maturity and encourages innovation.","Analyze and compare the two speakers' positions on AI in schools.",What tone does Dr. Liu use when presenting her concerns about AI?,tone_purpose,Cautious and warning; she expresses worry about risks,,,,,Liu uses words like 'worry' 'risk' 'harmful' conveying a cautious tone,medium
Reading,R4,9,AI Regulation,"AI Regulation in Canadian Schools: Two Perspectives

Dr. Emily Liu - Pro-Regulation Viewpoint:

Artificial intelligence is advancing rapidly in our education system and we must establish clear regulations. Students are using AI tools like ChatGPT for homework and I worry about academic integrity. If we don't regulate AI use we risk creating a generation of students who cannot think critically or write independently. Furthermore AI systems can contain biases that perpetuate educational inequalities. Regulation allows us to ensure AI supports learning rather than replacing it. Without guidelines schools will face unpredictable and potentially harmful consequences.

James Chen - Against Strict Regulation Viewpoint:

I understand Dr. Liu's concerns but I believe overly strict regulation will hinder innovation in education. AI offers tremendous opportunities—personalized learning paths adaptive assessments and intelligent tutoring systems can help struggling students. Banning or heavily restricting AI will force Canadian schools to fall behind international competitors who embrace these technologies. Rather than regulation I advocate for education. We should teach students AI literacy and digital citizenship so they can use these tools responsibly. This approach trusts student maturity and encourages innovation.","Analyze and compare the two speakers' positions on AI in schools.","Based on the speeches which statement would both speakers likely AGREE with?",inference,AI will play an increasingly important role in Canadian education,,,,,Both acknowledge AI is advancing and significant; they just disagree on how to manage it,hard
Reading,R4,10,AI Regulation,"AI Regulation in Canadian Schools: Two Perspectives

Dr. Emily Liu - Pro-Regulation Viewpoint:

Artificial intelligence is advancing rapidly in our education system and we must establish clear regulations. Students are using AI tools like ChatGPT for homework and I worry about academic integrity. If we don't regulate AI use we risk creating a generation of students who cannot think critically or write independently. Furthermore AI systems can contain biases that perpetuate educational inequalities. Regulation allows us to ensure AI supports learning rather than replacing it. Without guidelines schools will face unpredictable and potentially harmful consequences.

James Chen - Against Strict Regulation Viewpoint:

I understand Dr. Liu's concerns but I believe overly strict regulation will hinder innovation in education. AI offers tremendous opportunities—personalized learning paths adaptive assessments and intelligent tutoring systems can help struggling students. Banning or heavily restricting AI will force Canadian schools to fall behind international competitors who embrace these technologies. Rather than regulation I advocate for education. We should teach students AI literacy and digital citizenship so they can use these tools responsibly. This approach trusts student maturity and encourages innovation.","Analyze and compare the two speakers' positions on AI in schools.",What does James Chen's mention of 'international competitors' suggest about his reasoning?,inference,He believes Canada must stay competitive economically and educationally by not falling behind on technology adoption,,,,,Using competitiveness as an argument suggests economic/educational stakes and need to keep pace globally,hard
